Fclt Building Address Key,Fclt Building Key,Fiscal Period,Fclt Building Address Hist Key,Building Number,Address Purpose,Address City Id,Is E911 Address,Street Number,Street Number Suffix,Pre Directional,Street Name,Street Suffix,Post Directional,City,State,Postal Code,Warehouse Load Date
7-PARCL1,7,201509,7-PARCL1-201509,7,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
7-STREET,7,201509,7-STREET-201509,7,STREET,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
7A-E911_1,7A,201509,7A-E911_1-201509,7A,E911_1,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
7A-MAIL,7A,201509,7A-MAIL-201509,7A,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
7A-PARCL1,7A,201509,7A-PARCL1-201509,7A,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
7A-STREET,7A,201509,7A-STREET-201509,7A,STREET,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
8-E911_1,8,201509,8-E911_1-201509,8,E911_1,25343,"",21,"","",AMES,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
8-MAIL,8,201509,8-MAIL-201509,8,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
8-PARCL1,8,201509,8-PARCL1-201509,8,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
8-STREET,8,201509,8-STREET-201509,8,STREET,25343,"",21,"","",AMES,ST,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
9-E911_1,9,201509,9-E911_1-201509,9,E911_1,704,"",105,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
9-MAIL,9,201509,9-MAIL-201509,9,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
9-PARCL1,9,201509,9-PARCL1-201509,9,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
9-STREET,9,201509,9-STREET-201509,9,STREET,704,"",105,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
10-E911_1,10,201509,10-E911_1-201509,10,E911_1,26060,"",222,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
10-MAIL,10,201509,10-MAIL-201509,10,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
10-PARCL1,10,201509,10-PARCL1-201509,10,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
10-STREET,10,201509,10-STREET-201509,10,STREET,26060,"",222,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
11-E911_1,11,201509,11-E911_1-201509,11,E911_1,31040,"",77,R,"",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
11-MAIL,11,201509,11-MAIL-201509,11,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
11-PARCL1,11,201509,11-PARCL1-201509,11,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
11-STREET,11,201509,11-STREET-201509,11,STREET,"","",77,"","",MASSACHUSETTS,AVE,(Rear),CAMBRIDGE,MA,02139,04/01/15 05:12 AM
12-E911_1,12,201509,12-E911_1-201509,12,E911_1,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
12-MAIL,12,201509,12-MAIL-201509,12,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
12-PARCL1,12,201509,12-PARCL1-201509,12,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
12-STREET,12,201509,12-STREET-201509,12,STREET,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
12A-E911_1,12A,201509,12A-E911_1-201509,12A,E911_1,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
12A-MAIL,12A,201509,12A-MAIL-201509,12A,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
12A-PARCL1,12A,201509,12A-PARCL1-201509,12A,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
12A-STREET,12A,201509,12A-STREET-201509,12A,STREET,711,"",60,"","",VASSAR,ST,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
13-E911_1,13,201509,13-E911_1-201509,13,E911_1,31912,"",105,R,"",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
13-MAIL,13,201509,13-MAIL-201509,13,MAIL,708,"",77,"","",MASSACHUSETTS,AVE,"",CAMBRIDGE,MA,02139,04/01/15 05:12 AM
13-PARCL1,13,201509,13-PARCL1-201509,13,PARCL1,"","",MEM106,"","","","","",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
E60-MAIL,E60,201509,E60-MAIL-201509,E60,MAIL,6394,"",30,"","",MEMORIAL,DR,"",CAMBRIDGE,MA,02142,04/01/15 05:12 AM
