Hierarchy Type,Link Type Code,Link Type,Dlc Key,Dlc Code,Linked Object Key,Linked Object Code
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC204387,FC204387
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC206123,FC206123
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC206123,FC206123
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC206172,FC206172
Standard Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC206242,FC206242
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC207133,FC207133
Compact DLC Hierarchy,FC,Standard Funds Center,D_DEFUNCT,D_DEFUNCT,FC400551,FC400551
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC_LFEE206,FC_LFEE206
Standard Hierarchy,FC,Standard Funds Center,D_NUCENG,D_NUCENG,FC209142,FC209142
Compact DLC Hierarchy,ORGU,Old Org. Unit,D_CAS,D_CAS,422900,422900
Standard Hierarchy,ORGU,Old Org. Unit,D_FACILITIES,D_FACILITIES,591024,591024
Compact DLC Hierarchy,ORG2,New Org. Unit,D_SLP,D_SLP,O10000901,10000901
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_DEANARCH,D_DEANARCH,P030000-001,P030000
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_DEANARCH,D_DEANARCH,P030020-001,P030020
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_PROPERTY,D_PROPERTY,P406800-001,P406800
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_SOURCING,D_SOURCING,P426900-001,P426900
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_CAS,D_CAS,P404501-001,P404501
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_CAS,D_CAS,P422210-001,P422210
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_CAS,D_CAS,P422211-001,P422211
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_CAS,D_CAS,P423300-001,P423300
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_CAS,D_CAS,P423600-001,P423600
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_CAS,D_CAS,P427090-001,P427090
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,P591000-001,P591000
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,P591010-001,P591010
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,P591027-001,P591027
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,PCMIT-0153-001,PCMIT-0153
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,PCMIT-0214-001,PCMIT-0214
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_FACILITIES,D_FACILITIES,PCMIT-0216-001,PCMIT-0216
Compact DLC Hierarchy,PMIT,PCMIT-0 Profit Center,D_ALUM,D_ALUM,P871060-001,P871060
Standard Hierarchy,PMIT,PCMIT-0 Profit Center,D_ALUM,D_ALUM,P871100-001,P871100
Standard Hierarchy,FC,Standard Funds Center,D_ISN,D_ISN,FC205672,FC205672
Compact DLC Hierarchy,FC,Standard Funds Center,D_ISN,D_ISN,FC205680,FC205680
Compact DLC Hierarchy,FC,Standard Funds Center,D_ISN,D_ISN,FC205681,FC205681
Standard Hierarchy,FC,Standard Funds Center,D_ISN,D_ISN,FC205681,FC205681
Standard Hierarchy,FC,Standard Funds Center,D_MATHS,D_MATHS,FC208648,FC208648
Compact DLC Hierarchy,FC,Standard Funds Center,D_MATHS,D_MATHS,FC208658,FC208658
Compact DLC Hierarchy,FC,Standard Funds Center,D_MASDAR,D_MASDAR,FC209236,FC209236
Compact DLC Hierarchy,FC,Standard Funds Center,D_MASDAR,D_MASDAR,FC_MASDAR67,FC_MASDAR67
Compact DLC Hierarchy,FC,Standard Funds Center,D_CHEM,D_CHEM,FC_CHEM66,FC_CHEM66
Standard Hierarchy,FC,Standard Funds Center,D_PHYSICS,D_PHYSICS,FC401963,FC401963
Standard Hierarchy,FC,Standard Funds Center,D_LFEE,D_LFEE,FC208527,FC208527
Standard Hierarchy,FC,Standard Funds Center,D_PHYSICS,D_PHYSICS,FC208639,FC208639
Compact DLC Hierarchy,FC,Standard Funds Center,D_MECHE,D_MECHE,FC_MECHENG161,FC_MECHENG161
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAU,D_CAU,FC206323,FC206323
Compact DLC Hierarchy,FC,Standard Funds Center,D_PHYSICS,D_PHYSICS,FC_PHYSICS129,FC_PHYSICS129
Compact DLC Hierarchy,ORG2,New Org. Unit,D_FACILITIES,D_FACILITIES,O10002459,10002459
Standard Hierarchy,ORG2,New Org. Unit,D_FACILITIES,D_FACILITIES,O10002465,10002465
Compact DLC Hierarchy,ORG2,New Org. Unit,D_FACILITIES,D_FACILITIES,O10003458,10003458
Standard Hierarchy,FC,Standard Funds Center,D_MEDIA,D_MEDIA,FC_MEDIA85,FC_MEDIA85
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAS,D_CAS,FC100215,FC100215
Compact DLC Hierarchy,FC,Standard Funds Center,D_CAS,D_CAS,FC101029,FC101029
