Fclt Building Hist Key,Fiscal Period,Fclt Building Key,Building Number,Parent Building Number,Parent Building Name,Parent Building Name Long,Building Name Long,Ext Gross Area,Assignable Area,Non Assignable Area,Site,Campus Sector,Access Level Code,Access Level Name,Building Type,Ownership Type,Building Use,Occupancy Class,Building Height,Cost Center Code,Cost Collector Key,Latitude Wgs,Longitude Wgs,Easting X Spcs,Northing Y Spcs,Building Sort,Building Named For,Building Name,Date Built,Date Acquired,Date Occupied,Warehouse Load Date,Num Of Rooms
OC40-201605,201605,OC40,OC40,"","","",MASS GREEN HIGH PERFORMANCE COMPUTING CENTER,"1,469.02","1,469.03",0,HOLYOKE,OFFCAMPUS,3.00,3,SERVICE,LEASED,AER,(NULL),0.00,"","","","","","",OC40,-,MASS GREEN HIGH PERFORMANCE COMPUTING CENTER,03/21/14 12:00 AM,"",11/01/12 12:00 AM,12/01/15 05:12 AM,4
W51C-201605,201605,W51C,W51C,"","","",405 Memorial Drive - Pi Phi,"17,286.8","10,707.53","3,946.3",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","",42.35619,-71.09724,"765,027.6508","2,955,080.48747",W51C,-,405 MEMORIAL DRIVE,"","","",12/01/15 05:12 AM,85
W53A-201605,201605,W53A,W53A,"","","",J B Carr Indoor Tennis Facility (Office),"1,159.47",694.95,259.08,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,12.40,"","",42.35698,-71.09735,"764,996.70269","2,955,368.71583",W53A,JASPER B. CARR,CARR INDOOR TENNIS FACILITY (OFFICE),10/01/84 12:00 AM,"",05/01/85 12:00 AM,12/01/15 05:12 AM,10
W53B-201605,201605,W53B,W53B,"","","",J B Carr Indoor Tennis Facility (Office),140,121.25,0,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,9.00,"","",42.35697,-71.09695,"765,106.01836","2,955,365.02105",W53B,-,DUPONT TENNIS COURTS (OFFICE),"","","",12/01/15 05:12 AM,2
W53C-201605,201605,W53C,W53C,"","","",Building W53C,180,0,151.33,MIT,WEST,2.00,2,SERVICE,OWNED,OTH,UGU,"","","","","","","",W53C,-,BUILDING W53C,10/01/08 12:00 AM,"","",12/01/15 05:12 AM,1
W53D-201605,201605,W53D,W53D,"","","",J B Carr Indoor Tennis Facility(Svc),142.94,112.5,0,MIT,WEST,2.00,2,SERVICE,OWNED,STAC,UGB,"","","","","","","",W53D,-,CARR INDOOR TENNIS FACILITY(SVC),"","","",12/01/15 05:12 AM,1
W57A-201605,201605,W57A,W57A,"","","",Building W57A,117,91.07,0,MIT,WEST,3.00,3,SERVICE,OWNED,OTH,UGA1,0.00,"","","","","","",W57A,-,BUILDING W57A,03/21/14 12:00 AM,"","",12/01/15 05:12 AM,1
W61A-201605,201605,W61A,W61A,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing A),"12,634.2","7,778.22","2,879.06",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61A,-,MACGREGOR HOUSE (A),"","","",12/01/15 05:12 AM,95
W61B-201605,201605,W61B,W61B,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing B),"12,634.2","7,796.56","2,861.81",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61B,-,MACGREGOR HOUSE (B),"","","",12/01/15 05:12 AM,95
W61C-201605,201605,W61C,W61C,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing C),"12,634.2","7,814.56","2,844.4",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61C,-,MACGREGOR HOUSE (C),"","","",12/01/15 05:12 AM,95
W61D-201605,201605,W61D,W61D,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing D),"12,498.73","7,668.85","2,742.54",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61D,-,MACGREGOR HOUSE (D),"","","",12/01/15 05:12 AM,95
W61E-201605,201605,W61E,W61E,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing E),"11,664.6","6,694.73","2,737.87",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61E,-,MACGREGOR HOUSE (E),"","","",12/01/15 05:12 AM,91
W61F-201605,201605,W61F,W61F,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing F),"12,611.59","8,337.02","1,778.93",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61F,-,MACGREGOR HOUSE (F),"","","",12/01/15 05:12 AM,102
W61G-201605,201605,W61G,W61G,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing G),"12,942.63","9,430.07","1,289.78",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61G,-,MACGREGOR HOUSE (G),"","","",12/01/15 05:12 AM,99
W61H-201605,201605,W61H,W61H,W61,MACGREGOR HOUSE,Frank S MacGregor House,Frank S MacGregor House (Wing H),"13,259.73","9,390.22","1,564.62",MIT,WEST,2.00,2,RESIDENT,OWNED,DHOA,UGR2,"","","","","","","",W61H,-,MACGREGOR HOUSE (H),"","","",12/01/15 05:12 AM,103
OC19J-201604,201604,OC19J,OC19J,"","","",BATES LINAC: Gas Bottle/Tank Storage,400.94,348.95,0,BATES,OFFCAMPUS,1.00,1,ACADEMIC,OWNED,AER,(NULL),"",1876000,1876000,"","","","",OC19J,-,BATES LINAC: GAS BOTTLE/TANK STORAGE,"","","",10/31/15 05:15 AM,2
